Santhali_word,English_words,Grammer,Audio_links
bulu,Thigh,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Thigh.mp3
buluk’,thigh,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP33_J_thigh_2.mp3
buɽi ɑyo ~ buɽhi ayo,grandmother,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU14a_F_grandmother.mp3
cɑsi,farmer,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU50_M_farmer.mp3
cedɑʔse,because[of],adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP6_F_because.mp3
ceɽiŋ ɑɽɑk’ kɑdiə,free(v),verb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj30b_F_free(v).mp3
ceɽiŋ ɑɽɑk’ kɑdiə,free(v),verb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj30b_F_free(v).mp3
cetɑn,high,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj35_F_high.mp3
cetɑn,above,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP1_M_above.mp3
cetɑn,on,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP27_M_on.mp3
cetɑn,up,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP32_M_up.mp3
cəcuʔ,vagina,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP56_S_vagina_2.mp3
cədrɑ,bald,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj6_F_bald.mp3
cəʈu,mouse,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN38_M_mouse_2.mp3
cʰercete ~ cʰercrte,lizard,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN32_M_lizard.mp3
cʰɛ̃ɽe,bird,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN5_M_bird.mp3
cʰitlikɑ,how,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro23_M_how.mp3
cidɑʔ,why,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro31_F_why.mp3
cikəɽ,smooth,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj64_F_smooth.mp3
cit’,what,pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro26_F_what.mp3
cit’ likəmenəmɑ,howareyou,sentence,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv15_M_howareyou_2.mp3
culhə,cookingpit,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult22_F_cookingpit.mp3
culhə,cookingpit,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult22_F_cookingpit.mp3
cuput’,fist,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP24_J_fist.mp3
curi,knife,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult25_F_knife.mp3
dɑdɑ,brother,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU5_F_brother.mp3
dɑdɑ,elderbrother,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU7_M_olderbrother.mp3
dɑhəɽi,hat,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult21_M_hat.mp3
dɑɽeɑni,powerful,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj51_F_powerful.mp3
dɑɽiɑn,strong,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj65_M_strong.mp3
dɑyɑʔ,kind,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj39_F_kind.mp3
deɑ ~ diɑ,back,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP37_J_back.mp3
deja,Back,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Back.mp3
dəbɽo,thick,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj67_F_thick.mp3
dəi,eldersister,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU10_F_oldersister.mp3
dəɽiə,beard,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP10_G_beard.mp3
dəɽiə,beard,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP10_G_beard.mp3
dəyəkətet’,please,NaN,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv17_F_please.mp3
dəʔɽia,Beard,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Beard.mp3
dinəm,everyday,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv9_F_everyday.mp3
dukʰ,sad,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj57_M_sad.mp3
dukre,sadly,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv20_F_sadly.mp3
ʤəŋ,Bone,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Bone.mp3
ʤəŋa,Foot,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Foot.mp3
ʤəŋa kaʈub,Toe,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Toe.mp3
ʤəŋa rena rəma,Toenail,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Toenail.mp3
ɖanɖa,Waist,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Waist.mp3
ɖɑɳɖɑ,waist,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP45_G_waist.mp3
ɖɑʈɑ,tooth,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP15_J_tooth_2.mp3
ɖəʈa,Tooth,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Tooth.mp3
ɖol jənoʔ,softbroom,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult9b_M_softbroom.mp3
ebʰɛnoʔ,awake,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj4_F_awake.mp3
eŋakaʈub,Thumb,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Thumb.mp3
eŋgɑ,female,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN20_F_female.mp3
eŋgɑ kɑʈuk’,thumb,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP27_J_thumb.mp3
əɖi dɑɽiɑn hɔɽ,strongman,very,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj65_F_verystrongman.mp3
əɖi logən,quickly,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv22_F_quickly.mp3
əɖi sɛrhɑu,you,thank,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv13_F_thankyou.mp3
